               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.026786,            0.012473,           0.0059574,             0.99393,             0.98617,             0.99332,             0.83322,            0.021792,           0.0077608,           0.0049362,           0.0069063,           0.0069063,           0.0069063
                  82,            0.027061,            0.012685,           0.0061482,             0.99598,             0.98617,             0.99353,             0.83483,            0.022585,           0.0078349,           0.0048615,           0.0068676,           0.0068676,           0.0068676
                  83,            0.027357,             0.01282,           0.0060525,              0.9959,             0.98278,             0.99322,             0.83046,            0.022804,           0.0079433,           0.0048256,           0.0068289,           0.0068289,           0.0068289
                  84,            0.027233,            0.012133,             0.00654,             0.99689,             0.98726,             0.99391,             0.83328,            0.023003,           0.0079485,           0.0047642,           0.0067902,           0.0067902,           0.0067902
                  85,            0.026476,            0.011989,           0.0059909,             0.99439,             0.98127,             0.99045,             0.82072,            0.023631,           0.0082213,           0.0047205,           0.0067516,           0.0067516,           0.0067516
                  86,            0.026578,            0.012576,           0.0059048,             0.99743,             0.97329,             0.98795,             0.81807,            0.022661,              0.0082,           0.0047262,           0.0067129,           0.0067129,           0.0067129
                  87,            0.026144,            0.012466,            0.005824,              0.9953,             0.98541,             0.99341,             0.84086,             0.02218,           0.0077443,           0.0048002,           0.0066742,           0.0066742,           0.0066742
                  88,            0.026784,            0.012248,           0.0057775,             0.99213,              0.9785,             0.99275,             0.82315,            0.023332,           0.0079884,            0.004685,           0.0066355,           0.0066355,           0.0066355
                  89,            0.026227,            0.012806,           0.0059597,             0.99678,             0.98219,             0.99387,             0.83626,            0.021329,           0.0075766,           0.0046791,           0.0065969,           0.0065969,           0.0065969
                  90,            0.025141,            0.012073,           0.0057059,             0.99423,             0.98702,             0.99409,             0.83082,            0.022295,           0.0076246,           0.0046661,           0.0065582,           0.0065582,           0.0065582
                  91,             0.02588,            0.011956,           0.0059977,             0.98614,             0.99433,             0.99419,             0.83913,            0.022226,           0.0076049,           0.0046951,           0.0065195,           0.0065195,           0.0065195
                  92,            0.025721,             0.01177,           0.0060281,             0.99027,             0.98948,             0.99404,             0.84006,            0.021511,            0.007457,           0.0047253,           0.0064809,           0.0064809,           0.0064809
                  93,            0.026079,            0.012368,           0.0060669,             0.99674,             0.98617,             0.99392,              0.8371,            0.023073,           0.0077507,           0.0046728,           0.0064422,           0.0064422,           0.0064422
                  94,            0.026139,            0.012462,           0.0059104,             0.99688,             0.98891,             0.99405,             0.84284,            0.021617,            0.007401,            0.004615,           0.0064035,           0.0064035,           0.0064035
                  95,            0.025018,            0.011835,           0.0057352,             0.99647,             0.98947,             0.99445,             0.83473,            0.021891,           0.0075311,            0.004615,           0.0063648,           0.0063648,           0.0063648
                  96,            0.025244,            0.012288,           0.0056858,              0.9965,             0.99107,              0.9945,             0.83274,            0.021427,           0.0073994,           0.0045538,           0.0063262,           0.0063262,           0.0063262
                  97,            0.025334,            0.012106,           0.0061875,             0.99443,             0.98909,             0.99447,             0.83768,            0.021305,           0.0075613,           0.0045498,           0.0062875,           0.0062875,           0.0062875
                  98,            0.025186,            0.011905,           0.0058369,             0.99395,             0.98261,             0.99458,             0.83978,            0.021809,           0.0075073,           0.0046444,           0.0062488,           0.0062488,           0.0062488
                  99,            0.025652,            0.012082,           0.0057865,             0.99277,             0.98827,              0.9935,             0.84397,            0.020925,           0.0074264,           0.0045353,           0.0062102,           0.0062102,           0.0062102
                 100,            0.025526,            0.012481,           0.0056045,             0.99766,             0.97436,             0.99051,             0.83666,            0.022015,           0.0077165,           0.0046545,           0.0061715,           0.0061715,           0.0061715
                 101,            0.025118,            0.011838,           0.0058737,             0.99844,             0.97645,             0.98705,             0.83592,            0.021255,           0.0079224,           0.0046072,           0.0061328,           0.0061328,           0.0061328
                 102,            0.025497,            0.012489,           0.0054055,             0.99112,             0.97708,              0.9865,             0.83362,            0.021669,           0.0083499,           0.0045998,           0.0060941,           0.0060941,           0.0060941
                 103,            0.024681,            0.011786,           0.0056844,             0.99497,             0.97426,             0.98936,             0.83258,            0.021791,           0.0080424,            0.004619,           0.0060555,           0.0060555,           0.0060555
